eir,pfpr,age0,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18,age19,age20,age21,age22,age23,age24,age25,age26,age27,age28,age29,age30,age31,age32,age33,age34,age35,age36,age37,age38,age39,age40,age41,age42,age43,age44,age45,age46,age47,age48,age49,age50,age51,age52,age53,age54,age55,age56,age57,age58,age59,kappa,z,beta
0.000510667,0.0,0.0005062,0.000474809,0.000494932,0.000491527,0.000841611,0.000729816,0.000679862,0.000477524,0.00057946,0.000663808,0.000713105,0.000780944,0.00171145,0.000905426,0.00077285,0.000777509,0.000890046,0.000731828,0.000435134,0.000706169,0.000458825,0.000792565,0.000369864,0.000621555,0.000742126,0.000125189,0.000742661,0.000662862,0.000619115,0.00069723,0.00070868,0.00112321,0.000828053,0.000829084,0.000955934,0.000206885,0.000518824,0.000232863,0.000563244,0.000714943,0.00104596,0.00166995,0.00161722,0.00070346,0.00116493,0.000432683,0.000284998,0.0001623,0.000388875,0.000624145,0.00079351,0.000199806,0.000402999,0.000595132,0.00104154,0.000813881,0.000595132,0.000249908,0.000998632,0.00124907,0.1,2.0,0.05
0.0380607,0.120982,0.0017454,0.00215747,0.00204264,0.00257553,0.00232755,0.00209228,0.0028494,0.00200177,0.00249747,0.00151673,0.00204365,0.0017691,0.00393815,0.00242896,0.00215246,0.00238065,0.00206308,0.00229607,0.00271959,0.00212475,0.00238268,0.00238757,0.00266458,0.00226868,0.00169238,0.00245905,0.00179386,0.00148661,0.00261861,0.00238362,0.00225979,0.00242828,0.00229427,0.00251418,0.0016408,0.00298314,0.00211619,0.00129846,0.0036476,0.00247547,0.00349478,0.00204578,0.00336648,0.00171145,0.00253889,0.00136874,0.00287707,0.0011208,0.000773234,0.00422772,0.0030409,0.00270801,0.00274457,0.0017198,0.00282784,0.0018516,0.00114391,0.000992183,0.00308792,0.00238256,0.1,2.0,0.05
0.0001,0.0,3.33611e-05,0.000212565,7.50231e-05,0.0,7.69659e-05,4.01057e-05,0.000125646,0.000125017,4.38343e-05,0.0,4.74455e-05,9.83389e-05,0.0,5.41969e-05,5.46417e-05,0.000104383,0.0,0.0,5.3916e-05,0.000109283,0.000294165,6.29258e-05,6.29734e-05,0.0,6.66288e-05,0.000190216,0.0,0.000124954,0.000198614,0.0,0.000101302,0.0,0.00010186,0.00021243,0.000102047,0.000210416,0.0,5.95487e-05,0.0,0.0,0.0,0.0,0.000400093,0.0,0.0,0.0,0.0,8.04829e-05,0.0,0.0,0.000209094,0.0,0.0,0.0,0.0,0.0,0.0,0.000125994,0.0,0.0,0.1,2.0,0.05
0.0001,0.0,0.000198535,0.000524271,0.000398612,0.00034052,0.000561345,0.00019995,0.000420194,0.000351322,0.000256322,0.000226201,0.000184573,0.000146814,0.000430352,0.000369864,0.000501993,0.000255902,0.000262191,0.000263103,0.000440605,0.000162591,0.000234834,0.000321558,0.000507435,0.000757165,0.000193458,0.000129625,0.00039162,0.000182565,0.000101673,0.000399613,0.000208701,0.000425131,0.000605599,0.000407688,0.000423239,0.000609665,0.000313247,0.000117293,0.000414027,0.000139279,0.000563244,0.00081521,0.0,0.000688902,0.000419946,0.000138815,0.000144604,7.87316e-05,0.000198614,0.000595842,0.000394404,0.000192861,0.000203719,0.000847016,0.000211754,0.000420831,0.0,0.0,0.000326991,0.000309366,0.1,2.0,0.05
0.0001,0.0,0.000196814,7.01829e-05,0.000259539,0.000148972,0.000276542,0.000198472,0.00024345,0.000305312,0.000135316,0.000311766,0.000380867,9.93071e-05,0.000212837,0.000382116,0.00026958,0.000155599,0.000420034,0.000160346,0.000109391,0.000272493,0.000348928,0.000258445,6.17354e-05,6.97856e-05,0.000259351,0.000195045,0.000156501,0.000420907,0.000107519,0.00030765,0.0,0.000101487,0.000300612,0.000205226,0.000532433,0.000297566,0.00020447,0.000115302,0.000140573,0.000417488,0.000277398,0.000417488,0.000538636,0.000290977,0.000138238,0.0005666,0.0,0.000168631,0.0,0.000610411,0.000388422,0.000202234,0.0,0.000594424,0.000193533,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.05
0.004072060000000001,0.00276358,0.00156171,0.00213697,0.00178287,0.00132847,0.00181626,0.0016523,0.00117595,0.00139297,0.00116172,0.00171122,0.000842727,0.000956819,0.00291815,0.00232086,0.00179434,0.00209453,0.00218042,0.00199077,0.0015935,0.00159456,0.00131776,0.00215476,0.00142733,0.000683526,0.00177552,0.00117073,0.00148119,0.000937155,0.00248255,0.00114498,0.00194893,0.00244314,0.00143217,0.00247339,0.00218178,0.00111094,0.00153164,0.00092146,0.00149212,0.00152823,0.00282099,0.0025497,0.00265966,0.000551121,0.00200356,0.00312242,0.00218806,0.000584288,0.00161984,0.00142604,0.0010481,0.0027543,0.0014455,0.0013739,0.0020857,0.00199089,0.0017961,0.000761152,0.00229797,0.00137269,0.1,2.0,0.05
0.0001,0.0,6.5799e-05,6.90474e-05,0.000227013,0.000111879,0.000269755,0.000277332,0.000206193,8.37006e-05,0.000131295,0.000272181,0.000138162,0.00014452,0.000535517,0.000495189,0.000214207,0.00021015,0.000102645,0.000107902,0.000215037,0.000329364,0.000398997,0.000259959,0.0,0.000138757,0.000334348,0.000129424,0.000308648,0.0,0.00032131,0.00020548,0.000308601,0.000203346,0.000104481,0.000515929,0.000103507,0.00030841,0.000311488,5.94e-05,0.000142499,0.00040496,0.000421008,0.000286469,0.000134987,0.000139163,0.000137439,0.000425312,0.000269536,0.0,0.0,0.000204974,0.000409947,0.000202727,0.000982519,0.000196736,0.0,0.000210682,0.000197906,0.000124023,0.000679342,0.000683526,0.1,2.0,0.05
0.0001,0.0,0.000302067,0.000319188,0.000226704,0.000228415,0.00019304,0.000519871,0.000619038,0.000254623,0.000266943,0.000361038,0.000423868,0.000716379,0.00114785,0.00059636,0.000438429,0.000310327,0.000578277,0.000420831,0.000384512,0.000163657,0.000469006,0.000255274,0.000504742,0.000549303,0.000651678,0.000779572,0.000389786,0.000362743,0.000297212,0.000105541,0.000498021,0.000605599,0.000523721,0.000212294,0.000504665,0.000298455,0.000216717,0.000239308,0.00070109,0.000138353,0.000143358,0.000141289,0.000514096,0.000571954,0.000416097,0.000141289,0.000422433,0.000319921,0.000627281,0.00123593,0.00141221,0.000591607,0.000204722,0.0,0.00100144,0.000601586,0.0,0.0,0.0,0.0,0.1,2.0,0.05
0.0001,0.0,0.000227954,0.000245692,0.000291934,0.000109595,0.000195764,0.000239308,4.26766e-05,0.000170357,0.000132797,0.000270632,9.19805e-05,0.000194211,0.000644279,0.000324336,0.000162168,0.000103154,0.000154971,0.000212227,0.000165941,0.000109248,0.000235749,0.000128178,0.000123746,0.000344308,6.71124e-05,0.000192786,7.73055e-05,0.00030372,0.000210416,0.000103186,0.000103829,0.000209885,0.000103314,0.000100933,0.000204219,0.00010124,0.000208831,5.90627e-05,0.000440703,0.000139747,0.000281146,0.000430074,0.00013893,0.000130643,0.000135979,0.000402674,0.0,8.56607e-05,0.00040894,0.000436274,0.000196969,0.000202234,0.00020447,0.0,0.00020857,0.0,0.0,0.0,0.000587085,0.000338979,0.1,2.0,0.05
0.0001,0.0,0.000290244,0.000314431,0.000430074,0.000332434,0.00034507,0.00051224,0.000418293,0.000215371,0.000516623,0.000273748,0.000139085,0.000194495,0.000761982,0.000481191,0.000478119,0.000371396,0.000258686,0.000371633,0.000164033,0.00053916,0.00028736,0.000324315,0.000308677,0.000349221,0.000399933,0.000322181,0.000470387,0.000500567,0.000314035,0.000512434,0.000599419,0.000201866,0.000639329,0.000208178,0.000393007,0.000610784,0.000407189,0.000180324,0.000874459,0.000289963,0.000138815,0.000411637,0.000423508,0.000554796,0.000397545,0.0,0.000419593,0.0,0.000588816,0.000617201,0.000190433,0.00081788,0.000789745,0.0,0.000197436,0.0,0.000207013,0.000253524,0.000660471,0.000323811,0.1,2.0,0.05
0.6041799999999999,1.08857,0.0457556,0.057963,0.0559763,0.051572,0.0515433,0.0494275,0.0502797,0.0435611,0.0455376,0.0478644,0.0454662,0.04514,0.103761,0.059874,0.0570724,0.0535916,0.051204,0.0503162,0.0501335,0.0509473,0.0502467,0.0553742,0.0537064,0.0501587,0.0473695,0.0429734,0.0503133,0.0359093,0.055816,0.0571513,0.0558867,0.0610554,0.0664322,0.0607096,0.0608551,0.0526532,0.0563123,0.029825,0.059624,0.0585146,0.0528439,0.0657219,0.0623056,0.0578126,0.0541309,0.053216,0.0483478,0.0253605,0.0600071,0.0628948,0.0601029,0.0567139,0.06169,0.0564627,0.0546543,0.049619,0.0450053,0.0265337,0.0568719,0.061954,0.1,2.0,0.058
