Index,beta,prmc_size,ifr
0,0.049999999999999996,400,0.0
1,0.049999999999999996,400,0.04
2,0.049999999999999996,400,0.08
3,0.049999999999999996,400,0.12
4,0.049999999999999996,400,0.16
5,0.049999999999999996,400,0.2
6,0.049999999999999996,800,0.0
7,0.049999999999999996,800,0.04
8,0.049999999999999996,800,0.08
9,0.049999999999999996,800,0.12
10,0.049999999999999996,800,0.16
11,0.049999999999999996,800,0.2
12,0.049999999999999996,1200,0.0
13,0.049999999999999996,1200,0.04
14,0.049999999999999996,1200,0.08
15,0.049999999999999996,1200,0.12
16,0.049999999999999996,1200,0.16
17,0.049999999999999996,1200,0.2
18,0.049999999999999996,1600,0.0
19,0.049999999999999996,1600,0.04
20,0.049999999999999996,1600,0.08
21,0.049999999999999996,1600,0.12
22,0.049999999999999996,1600,0.16
23,0.049999999999999996,1600,0.2
24,0.07751530160347293,400,0.0
25,0.07751530160347293,400,0.04
26,0.07751530160347293,400,0.08
27,0.07751530160347293,400,0.12
28,0.07751530160347293,400,0.16
29,0.07751530160347293,400,0.2
30,0.07751530160347293,800,0.0
31,0.07751530160347293,800,0.04
32,0.07751530160347293,800,0.08
33,0.07751530160347293,800,0.12
34,0.07751530160347293,800,0.16
35,0.07751530160347293,800,0.2
36,0.07751530160347293,1200,0.0
37,0.07751530160347293,1200,0.04
38,0.07751530160347293,1200,0.08
39,0.07751530160347293,1200,0.12
40,0.07751530160347293,1200,0.16
41,0.07751530160347293,1200,0.2
42,0.07751530160347293,1600,0.0
43,0.07751530160347293,1600,0.04
44,0.07751530160347293,1600,0.08
45,0.07751530160347293,1600,0.12
46,0.07751530160347293,1600,0.16
47,0.07751530160347293,1600,0.2
48,0.12017243965354749,400,0.0
49,0.12017243965354749,400,0.04
50,0.12017243965354749,400,0.08
51,0.12017243965354749,400,0.12
52,0.12017243965354749,400,0.16
53,0.12017243965354749,400,0.2
54,0.12017243965354749,800,0.0
55,0.12017243965354749,800,0.04
56,0.12017243965354749,800,0.08
57,0.12017243965354749,800,0.12
58,0.12017243965354749,800,0.16
59,0.12017243965354749,800,0.2
60,0.12017243965354749,1200,0.0
61,0.12017243965354749,1200,0.04
62,0.12017243965354749,1200,0.08
63,0.12017243965354749,1200,0.12
64,0.12017243965354749,1200,0.16
65,0.12017243965354749,1200,0.2
66,0.12017243965354749,1600,0.0
67,0.12017243965354749,1600,0.04
68,0.12017243965354749,1600,0.08
69,0.12017243965354749,1600,0.12
70,0.12017243965354749,1600,0.16
71,0.12017243965354749,1600,0.2
72,0.1863040580833977,400,0.0
73,0.1863040580833977,400,0.04
74,0.1863040580833977,400,0.08
75,0.1863040580833977,400,0.12
76,0.1863040580833977,400,0.16
77,0.1863040580833977,400,0.2
78,0.1863040580833977,800,0.0
79,0.1863040580833977,800,0.04
80,0.1863040580833977,800,0.08
81,0.1863040580833977,800,0.12
82,0.1863040580833977,800,0.16
83,0.1863040580833977,800,0.2
84,0.1863040580833977,1200,0.0
85,0.1863040580833977,1200,0.04
86,0.1863040580833977,1200,0.08
87,0.1863040580833977,1200,0.12
88,0.1863040580833977,1200,0.16
89,0.1863040580833977,1200,0.2
90,0.1863040580833977,1600,0.0
91,0.1863040580833977,1600,0.04
92,0.1863040580833977,1600,0.08
93,0.1863040580833977,1600,0.12
94,0.1863040580833977,1600,0.16
95,0.1863040580833977,1600,0.2
96,0.2888283050457103,400,0.0
97,0.2888283050457103,400,0.04
98,0.2888283050457103,400,0.08
99,0.2888283050457103,400,0.12
100,0.2888283050457103,400,0.16
101,0.2888283050457103,400,0.2
102,0.2888283050457103,800,0.0
103,0.2888283050457103,800,0.04
104,0.2888283050457103,800,0.08
105,0.2888283050457103,800,0.12
106,0.2888283050457103,800,0.16
107,0.2888283050457103,800,0.2
108,0.2888283050457103,1200,0.0
109,0.2888283050457103,1200,0.04
110,0.2888283050457103,1200,0.08
111,0.2888283050457103,1200,0.12
112,0.2888283050457103,1200,0.16
113,0.2888283050457103,1200,0.2
114,0.2888283050457103,1600,0.0
115,0.2888283050457103,1600,0.04
116,0.2888283050457103,1600,0.08
117,0.2888283050457103,1600,0.12
118,0.2888283050457103,1600,0.16
119,0.2888283050457103,1600,0.2
120,0.44777226354476235,400,0.0
121,0.44777226354476235,400,0.04
122,0.44777226354476235,400,0.08
123,0.44777226354476235,400,0.12
124,0.44777226354476235,400,0.16
125,0.44777226354476235,400,0.2
126,0.44777226354476235,800,0.0
127,0.44777226354476235,800,0.04
128,0.44777226354476235,800,0.08
129,0.44777226354476235,800,0.12
130,0.44777226354476235,800,0.16
131,0.44777226354476235,800,0.2
132,0.44777226354476235,1200,0.0
133,0.44777226354476235,1200,0.04
134,0.44777226354476235,1200,0.08
135,0.44777226354476235,1200,0.12
136,0.44777226354476235,1200,0.16
137,0.44777226354476235,1200,0.2
138,0.44777226354476235,1600,0.0
139,0.44777226354476235,1600,0.04
140,0.44777226354476235,1600,0.08
141,0.44777226354476235,1600,0.12
142,0.44777226354476235,1600,0.16
143,0.44777226354476235,1600,0.2
144,0.6941840411668405,400,0.0
145,0.6941840411668405,400,0.04
146,0.6941840411668405,400,0.08
147,0.6941840411668405,400,0.12
148,0.6941840411668405,400,0.16
149,0.6941840411668405,400,0.2
150,0.6941840411668405,800,0.0
151,0.6941840411668405,800,0.04
152,0.6941840411668405,800,0.08
153,0.6941840411668405,800,0.12
154,0.6941840411668405,800,0.16
155,0.6941840411668405,800,0.2
156,0.6941840411668405,1200,0.0
157,0.6941840411668405,1200,0.04
158,0.6941840411668405,1200,0.08
159,0.6941840411668405,1200,0.12
160,0.6941840411668405,1200,0.16
161,0.6941840411668405,1200,0.2
162,0.6941840411668405,1600,0.0
163,0.6941840411668405,1600,0.04
164,0.6941840411668405,1600,0.08
165,0.6941840411668405,1600,0.12
166,0.6941840411668405,1600,0.16
167,0.6941840411668405,1600,0.2
168,1.0761977063873065,400,0.0
169,1.0761977063873065,400,0.04
170,1.0761977063873065,400,0.08
171,1.0761977063873065,400,0.12
172,1.0761977063873065,400,0.16
173,1.0761977063873065,400,0.2
174,1.0761977063873065,800,0.0
175,1.0761977063873065,800,0.04
176,1.0761977063873065,800,0.08
177,1.0761977063873065,800,0.12
178,1.0761977063873065,800,0.16
179,1.0761977063873065,800,0.2
180,1.0761977063873065,1200,0.0
181,1.0761977063873065,1200,0.04
182,1.0761977063873065,1200,0.08
183,1.0761977063873065,1200,0.12
184,1.0761977063873065,1200,0.16
185,1.0761977063873065,1200,0.2
186,1.0761977063873065,1600,0.0
187,1.0761977063873065,1600,0.04
188,1.0761977063873065,1600,0.08
189,1.0761977063873065,1600,0.12
190,1.0761977063873065,1600,0.16
191,1.0761977063873065,1600,0.2
192,1.6684357959115574,400,0.0
193,1.6684357959115574,400,0.04
194,1.6684357959115574,400,0.08
195,1.6684357959115574,400,0.12
196,1.6684357959115574,400,0.16
197,1.6684357959115574,400,0.2
198,1.6684357959115574,800,0.0
199,1.6684357959115574,800,0.04
200,1.6684357959115574,800,0.08
201,1.6684357959115574,800,0.12
202,1.6684357959115574,800,0.16
203,1.6684357959115574,800,0.2
204,1.6684357959115574,1200,0.0
205,1.6684357959115574,1200,0.04
206,1.6684357959115574,1200,0.08
207,1.6684357959115574,1200,0.12
208,1.6684357959115574,1200,0.16
209,1.6684357959115574,1200,0.2
210,1.6684357959115574,1600,0.0
211,1.6684357959115574,1600,0.04
