Index,pop_size,beta,z,kappa
0,100000,0.049999999999999996,4.0,0.1
1,100000,0.049999999999999996,4.0,0.125
2,100000,0.049999999999999996,4.0,0.15
3,100000,0.049999999999999996,4.0,0.175
4,100000,0.049999999999999996,4.0,0.19999999999999998
5,100000,0.049999999999999996,4.0,0.22499999999999998
6,100000,0.049999999999999996,4.0,0.24999999999999997
7,100000,0.049999999999999996,4.0,0.27499999999999997
8,100000,0.049999999999999996,4.0,0.29999999999999993
9,100000,0.049999999999999996,4.0,0.32499999999999996
10,100000,0.049999999999999996,4.0,0.35
11,100000,0.049999999999999996,4.0,0.3749999999999999
12,100000,0.049999999999999996,4.0,0.3999999999999999
13,100000,0.049999999999999996,4.0,0.42499999999999993
14,100000,0.049999999999999996,4.0,0.44999999999999996
15,100000,0.049999999999999996,4.0,0.47499999999999987
16,100000,0.049999999999999996,4.0,0.4999999999999999
17,100000,0.049999999999999996,4.0,0.5249999999999999
18,100000,0.049999999999999996,4.0,0.5499999999999999
19,100000,0.049999999999999996,4.0,0.5749999999999998
20,100000,0.049999999999999996,4.0,0.5999999999999999
21,100000,0.049999999999999996,4.0,0.6249999999999999
22,100000,0.049999999999999996,4.0,0.6499999999999998
23,100000,0.049999999999999996,4.0,0.6749999999999998
24,100000,0.049999999999999996,4.0,0.6999999999999998
25,100000,0.049999999999999996,4.0,0.7249999999999999
26,100000,0.049999999999999996,4.0,0.7499999999999999
27,100000,0.049999999999999996,4.0,0.7749999999999998
28,100000,0.049999999999999996,4.0,0.7999999999999998
29,100000,0.049999999999999996,4.0,0.8249999999999998
30,100000,0.049999999999999996,4.0,0.8499999999999998
31,100000,0.049999999999999996,4.0,0.8749999999999998
32,100000,0.049999999999999996,4.0,0.8999999999999998
33,100000,0.049999999999999996,4.0,0.9249999999999998
34,100000,0.049999999999999996,4.0,0.9499999999999998
35,100000,0.049999999999999996,4.0,0.9749999999999998
36,100000,0.049999999999999996,4.0,0.9999999999999998
37,100000,0.049999999999999996,4.05,0.1
38,100000,0.049999999999999996,4.05,0.125
39,100000,0.049999999999999996,4.05,0.15
40,100000,0.049999999999999996,4.05,0.175
41,100000,0.049999999999999996,4.05,0.19999999999999998
42,100000,0.049999999999999996,4.05,0.22499999999999998
43,100000,0.049999999999999996,4.05,0.24999999999999997
44,100000,0.049999999999999996,4.05,0.27499999999999997
45,100000,0.049999999999999996,4.05,0.29999999999999993
46,100000,0.049999999999999996,4.05,0.32499999999999996
47,100000,0.049999999999999996,4.05,0.35
48,100000,0.049999999999999996,4.05,0.3749999999999999
49,100000,0.049999999999999996,4.05,0.3999999999999999
50,100000,0.049999999999999996,4.05,0.42499999999999993
51,100000,0.049999999999999996,4.05,0.44999999999999996
52,100000,0.049999999999999996,4.05,0.47499999999999987
53,100000,0.049999999999999996,4.05,0.4999999999999999
54,100000,0.049999999999999996,4.05,0.5249999999999999
55,100000,0.049999999999999996,4.05,0.5499999999999999
56,100000,0.049999999999999996,4.05,0.5749999999999998
57,100000,0.049999999999999996,4.05,0.5999999999999999
58,100000,0.049999999999999996,4.05,0.6249999999999999
59,100000,0.049999999999999996,4.05,0.6499999999999998
60,100000,0.049999999999999996,4.05,0.6749999999999998
61,100000,0.049999999999999996,4.05,0.6999999999999998
62,100000,0.049999999999999996,4.05,0.7249999999999999
63,100000,0.049999999999999996,4.05,0.7499999999999999
64,100000,0.049999999999999996,4.05,0.7749999999999998
65,100000,0.049999999999999996,4.05,0.7999999999999998
66,100000,0.049999999999999996,4.05,0.8249999999999998
67,100000,0.049999999999999996,4.05,0.8499999999999998
68,100000,0.049999999999999996,4.05,0.8749999999999998
69,100000,0.049999999999999996,4.05,0.8999999999999998
70,100000,0.049999999999999996,4.05,0.9249999999999998
71,100000,0.049999999999999996,4.05,0.9499999999999998
72,100000,0.049999999999999996,4.05,0.9749999999999998
73,100000,0.049999999999999996,4.05,0.9999999999999998
74,100000,0.049999999999999996,4.1,0.1
75,100000,0.049999999999999996,4.1,0.125
76,100000,0.049999999999999996,4.1,0.15
77,100000,0.049999999999999996,4.1,0.175
78,100000,0.049999999999999996,4.1,0.19999999999999998
79,100000,0.049999999999999996,4.1,0.22499999999999998
80,100000,0.049999999999999996,4.1,0.24999999999999997
81,100000,0.049999999999999996,4.1,0.27499999999999997
82,100000,0.049999999999999996,4.1,0.29999999999999993
83,100000,0.049999999999999996,4.1,0.32499999999999996
84,100000,0.049999999999999996,4.1,0.35
85,100000,0.049999999999999996,4.1,0.3749999999999999
86,100000,0.049999999999999996,4.1,0.3999999999999999
87,100000,0.049999999999999996,4.1,0.42499999999999993
88,100000,0.049999999999999996,4.1,0.44999999999999996
89,100000,0.049999999999999996,4.1,0.47499999999999987
90,100000,0.049999999999999996,4.1,0.4999999999999999
91,100000,0.049999999999999996,4.1,0.5249999999999999
