Index,beta,z,kappa
0,0.049999999999999996,1.0,0.1
1,0.049999999999999996,1.0,0.6
2,0.049999999999999996,1.0,1.1
3,0.049999999999999996,1.0,1.6
4,0.049999999999999996,1.0,2.1
5,0.049999999999999996,1.0,2.6
6,0.049999999999999996,1.0,3.1
7,0.049999999999999996,1.0,3.6
8,0.049999999999999996,1.0,4.1
9,0.049999999999999996,1.0,4.6
10,0.049999999999999996,1.0,5.1
11,0.049999999999999996,1.0,5.6
12,0.049999999999999996,1.0,6.1
13,0.049999999999999996,1.0,6.6
14,0.049999999999999996,1.0,7.1
15,0.049999999999999996,1.0,7.6
16,0.049999999999999996,1.5,0.1
17,0.049999999999999996,1.5,0.6
18,0.049999999999999996,1.5,1.1
19,0.049999999999999996,1.5,1.6
20,0.049999999999999996,1.5,2.1
21,0.049999999999999996,1.5,2.6
22,0.049999999999999996,1.5,3.1
23,0.049999999999999996,1.5,3.6
24,0.049999999999999996,1.5,4.1
25,0.049999999999999996,1.5,4.6
26,0.049999999999999996,1.5,5.1
27,0.049999999999999996,1.5,5.6
28,0.049999999999999996,1.5,6.1
29,0.049999999999999996,1.5,6.6
30,0.049999999999999996,1.5,7.1
31,0.049999999999999996,1.5,7.6
32,0.049999999999999996,2.0,0.1
33,0.049999999999999996,2.0,0.6
34,0.049999999999999996,2.0,1.1
35,0.049999999999999996,2.0,1.6
36,0.049999999999999996,2.0,2.1
37,0.049999999999999996,2.0,2.6
38,0.049999999999999996,2.0,3.1
39,0.049999999999999996,2.0,3.6
40,0.049999999999999996,2.0,4.1
41,0.049999999999999996,2.0,4.6
42,0.049999999999999996,2.0,5.1
43,0.049999999999999996,2.0,5.6
44,0.049999999999999996,2.0,6.1
45,0.049999999999999996,2.0,6.6
46,0.049999999999999996,2.0,7.1
47,0.049999999999999996,2.0,7.6
48,0.049999999999999996,2.5,0.1
49,0.049999999999999996,2.5,0.6
50,0.049999999999999996,2.5,1.1
51,0.049999999999999996,2.5,1.6
52,0.049999999999999996,2.5,2.1
53,0.049999999999999996,2.5,2.6
54,0.049999999999999996,2.5,3.1
55,0.049999999999999996,2.5,3.6
56,0.049999999999999996,2.5,4.1
57,0.049999999999999996,2.5,4.6
58,0.049999999999999996,2.5,5.1
59,0.049999999999999996,2.5,5.6
60,0.049999999999999996,2.5,6.1
61,0.049999999999999996,2.5,6.6
62,0.049999999999999996,2.5,7.1
63,0.049999999999999996,2.5,7.6
64,0.049999999999999996,3.0,0.1
65,0.049999999999999996,3.0,0.6
66,0.049999999999999996,3.0,1.1
67,0.049999999999999996,3.0,1.6
68,0.049999999999999996,3.0,2.1
69,0.049999999999999996,3.0,2.6
70,0.049999999999999996,3.0,3.1
71,0.049999999999999996,3.0,3.6
72,0.049999999999999996,3.0,4.1
73,0.049999999999999996,3.0,4.6
74,0.049999999999999996,3.0,5.1
75,0.049999999999999996,3.0,5.6
76,0.049999999999999996,3.0,6.1
77,0.049999999999999996,3.0,6.6
78,0.049999999999999996,3.0,7.1
79,0.049999999999999996,3.0,7.6
80,0.049999999999999996,3.5,0.1
81,0.049999999999999996,3.5,0.6
82,0.049999999999999996,3.5,1.1
83,0.049999999999999996,3.5,1.6
84,0.049999999999999996,3.5,2.1
85,0.049999999999999996,3.5,2.6
86,0.049999999999999996,3.5,3.1
87,0.049999999999999996,3.5,3.6
88,0.049999999999999996,3.5,4.1
89,0.049999999999999996,3.5,4.6
90,0.049999999999999996,3.5,5.1
91,0.049999999999999996,3.5,5.6
92,0.049999999999999996,3.5,6.1
93,0.049999999999999996,3.5,6.6
94,0.049999999999999996,3.5,7.1
95,0.049999999999999996,3.5,7.6
96,0.049999999999999996,4.0,0.1
97,0.049999999999999996,4.0,0.6
98,0.049999999999999996,4.0,1.1
99,0.049999999999999996,4.0,1.6
100,0.049999999999999996,4.0,2.1
101,0.049999999999999996,4.0,2.6
102,0.049999999999999996,4.0,3.1
103,0.049999999999999996,4.0,3.6
104,0.049999999999999996,4.0,4.1
105,0.049999999999999996,4.0,4.6
106,0.049999999999999996,4.0,5.1
107,0.049999999999999996,4.0,5.6
108,0.049999999999999996,4.0,6.1
109,0.049999999999999996,4.0,6.6
110,0.049999999999999996,4.0,7.1
111,0.049999999999999996,4.0,7.6
112,0.049999999999999996,4.5,0.1
113,0.049999999999999996,4.5,0.6
114,0.049999999999999996,4.5,1.1
115,0.049999999999999996,4.5,1.6
116,0.049999999999999996,4.5,2.1
117,0.049999999999999996,4.5,2.6
118,0.049999999999999996,4.5,3.1
119,0.049999999999999996,4.5,3.6
120,0.049999999999999996,4.5,4.1
121,0.049999999999999996,4.5,4.6
122,0.049999999999999996,4.5,5.1
123,0.049999999999999996,4.5,5.6
124,0.049999999999999996,4.5,6.1
125,0.049999999999999996,4.5,6.6
126,0.049999999999999996,4.5,7.1
127,0.049999999999999996,4.5,7.6
128,0.049999999999999996,5.0,0.1
129,0.049999999999999996,5.0,0.6
130,0.049999999999999996,5.0,1.1
131,0.049999999999999996,5.0,1.6
132,0.049999999999999996,5.0,2.1
133,0.049999999999999996,5.0,2.6
134,0.049999999999999996,5.0,3.1
135,0.049999999999999996,5.0,3.6
136,0.049999999999999996,5.0,4.1
137,0.049999999999999996,5.0,4.6
138,0.049999999999999996,5.0,5.1
139,0.049999999999999996,5.0,5.6
