Index,beta,prmc_size,ifr
0,0.05,20,0.0
1,0.05,20,0.05
2,0.05,20,0.1
3,0.05,20,0.15
4,0.05,20,0.2
5,0.05,20,0.25
6,0.05,40,0.0
7,0.05,40,0.05
8,0.05,40,0.1
9,0.05,40,0.15
10,0.05,40,0.2
11,0.05,40,0.25
12,0.05,80,0.0
13,0.05,80,0.05
14,0.05,80,0.1
15,0.05,80,0.15
16,0.05,80,0.2
17,0.05,80,0.25
18,0.05,120,0.0
19,0.05,120,0.05
20,0.05,120,0.1
21,0.05,120,0.15
22,0.05,120,0.2
23,0.05,120,0.25
24,0.05,160,0.0
25,0.05,160,0.05
26,0.05,160,0.1
27,0.05,160,0.15
28,0.05,160,0.2
29,0.05,160,0.25
30,0.05,200,0.0
31,0.05,200,0.05
32,0.05,200,0.1
33,0.05,200,0.15
34,0.05,200,0.2
35,0.05,200,0.25
36,0.056,20,0.0
37,0.056,20,0.05
38,0.056,20,0.1
39,0.056,20,0.15
40,0.056,20,0.2
41,0.056,20,0.25
42,0.056,40,0.0
43,0.056,40,0.05
44,0.056,40,0.1
45,0.056,40,0.15
46,0.056,40,0.2
47,0.056,40,0.25
48,0.056,80,0.0
49,0.056,80,0.05
50,0.056,80,0.1
51,0.056,80,0.15
52,0.056,80,0.2
53,0.056,80,0.25
54,0.056,120,0.0
55,0.056,120,0.05
56,0.056,120,0.1
57,0.056,120,0.15
58,0.056,120,0.2
59,0.056,120,0.25
60,0.056,160,0.0
61,0.056,160,0.05
62,0.056,160,0.1
63,0.056,160,0.15
64,0.056,160,0.2
65,0.056,160,0.25
66,0.056,200,0.0
67,0.056,200,0.05
68,0.056,200,0.1
69,0.056,200,0.15
70,0.056,200,0.2
71,0.056,200,0.25
72,0.1,20,0.0
73,0.1,20,0.05
74,0.1,20,0.1
75,0.1,20,0.15
76,0.1,20,0.2
77,0.1,20,0.25
78,0.1,40,0.0
79,0.1,40,0.05
80,0.1,40,0.1
81,0.1,40,0.15
82,0.1,40,0.2
83,0.1,40,0.25
84,0.1,80,0.0
85,0.1,80,0.05
86,0.1,80,0.1
87,0.1,80,0.15
88,0.1,80,0.2
89,0.1,80,0.25
90,0.1,120,0.0
91,0.1,120,0.05
92,0.1,120,0.1
93,0.1,120,0.15
94,0.1,120,0.2
95,0.1,120,0.25
96,0.1,160,0.0
97,0.1,160,0.05
98,0.1,160,0.1
99,0.1,160,0.15
100,0.1,160,0.2
101,0.1,160,0.25
102,0.1,200,0.0
103,0.1,200,0.05
104,0.1,200,0.1
105,0.1,200,0.15
106,0.1,200,0.2
107,0.1,200,0.25
108,0.26,20,0.0
109,0.26,20,0.05
110,0.26,20,0.1
111,0.26,20,0.15
112,0.26,20,0.2
113,0.26,20,0.25
114,0.26,40,0.0
115,0.26,40,0.05
116,0.26,40,0.1
117,0.26,40,0.15
118,0.26,40,0.2
119,0.26,40,0.25
120,0.26,80,0.0
121,0.26,80,0.05
122,0.26,80,0.1
123,0.26,80,0.15
124,0.26,80,0.2
125,0.26,80,0.25
126,0.26,120,0.0
127,0.26,120,0.05
128,0.26,120,0.1
129,0.26,120,0.15
130,0.26,120,0.2
131,0.26,120,0.25
132,0.26,160,0.0
133,0.26,160,0.05
134,0.26,160,0.1
135,0.26,160,0.15
136,0.26,160,0.2
137,0.26,160,0.25
138,0.26,200,0.0
139,0.26,200,0.05
140,0.26,200,0.1
141,0.26,200,0.15
142,0.26,200,0.2
143,0.26,200,0.25
